ITEM;CEST;NCM/SH;DESCRIÇÃO
260;0102600;83021000;Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns
260;0102600;83023000;Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns
270;0102700;831000;Triângulo de segurança
280;0102800;84073;Motores de pistão alternativo dos tipos utilizados para propulsão de veículos do Capítulo 87
290;0102900;840820;Motores dos tipos utilizados para propulsão de veículos automotores
300;0103000;84099;Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408
310;0103100;84122;Motores hidráulicos
320;0103200;841330;Bombas para combustíveis, lubrificantes ou líquidos de arrefecimento, próprias para motores de ignição por centelha ou por compressão
330;0103300;84141000;Bombas de vácuo
340;0103400;8414801;Compressores e turbocompressores de ar
340;0103400;8414802;Compressores e turbocompressores de ar
350;0103500;84139190;Partes das bombas, compressores e turbocompressores dos CEST 0103200, 0103300 e 0103400
350;0103500;84149010;Partes das bombas, compressores e turbocompressores dos CEST 0103200, 0103300 e 0103400
350;0103500;8414903;Partes das bombas, compressores e turbocompressores dos CEST 0103200, 0103300 e 0103400
350;0103500;84149039;Partes das bombas, compressores e turbocompressores dos CEST 0103200, 0103300 e 0103400
350;0103500;84139190;Partes das bombas, compressores e turbocompressores dos itens 320, 330 e 340
350;0103500;84149010;Partes das bombas, compressores e turbocompressores dos itens 320, 330 e 340
350;0103500;8414903;Partes das bombas, compressores e turbocompressores dos itens 320, 330 e 340
350;0103500;84149039;Partes das bombas, compressores e turbocompressores dos itens 320, 330 e 340
360;0103600;841520;Máquinas e aparelhos de ar condicionado
370;0103700;84212300;Aparelhos para filtrar óleos minerais nos motores de ignição por centelha ou por compressão
380;0103800;84212990;Filtros a vácuo
390;0103900;84219;Partes dos aparelhos para filtrar ou depurar líquidos ou gases
400;0104000;84241000;Extintores, mesmo carregados
410;0104100;84213100;Filtros de entrada de ar para motores de ignição por centelha ou por compressão
420;0104200;84213920;Depuradores por conversão catalítica de gases de escape
430;0104300;84254200;Macacos
440;0104400;84311010;Partes para macacos do CEST 0104300
440;0104400;84311010;Partes para macacos do item 430
450;0104500;8431492;Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias
450;0104500;8431492;Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias
450;0104500;84339090;Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias
451;0104501;84339090;Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias
460;0104600;84811000;Válvulas redutoras de pressão
470;0104700;84812;Válvulas para transmissão óleo-hidráulicas ou pneumáticas
480;0104800;84818092;Válvulas solenóides
490;0104900;8482;Rolamentos
500;0105000;8483;Árvores de transmissão (incluídas as árvores de "cames"e virabrequins) e manivelas; mancais e "bronzes"; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluídos os conversores de torque; volantes e polias, incluídas as polias para cadernais; embreagens e dispositivos de acoplamento, incluídas as juntas de articulação
510;0105100;8484;Juntas metaloplásticas; jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes; juntas de vedação mecânicas (selos mecânicos)
520;0105200;850520;Acoplamentos, embreagens, variadores de velocidade e freios, eletromagnéticos
530;0105300;850710;Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão
540;0105400;8511;Aparelhos e dispositivos elétricos de ignição ou de arranque para motores de ignição por centelha ou por compressão (por exemplo, magnetos, dínamos-magnetos, bobinas de ignição, velas de ignição ou de aquecimento, motores de arranque); geradores (dínamos e alternadores, por exemplo) e conjuntores-disjuntores utilizados com estes motores
550;0105500;851220;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes
550;0105500;851240;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes
550;0105500;85129000;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes
560;0105600;85171213;Telefones móveis do tipo dos utilizados em veículos automóveis
570;0105700;8518;Alto-falantes, amplificadores elétricos de audiofrequência e partes
580;0105800;85185000;Aparelhos elétricos de amplificação de som para veículos automotores
590;0105900;851981;Aparelhos de reprodução de som
600;0106000;8525501;Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor)
600;0106000;85256010;Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor)
610;0106100;85272;Aparelhos receptores de radiodifusão que só funcionam com fonte externa de energia, exceto os classificados na posição 85272190
620;0106200;85272190;Outros aparelhos receptores de radiodifusão que funcionem com fonte externa de energia, dos tipos utilizados exclusivamente em veículos automotores
620;0106200;85272190;Outros aparelhos receptores de radiodifusão que funcionem com fonte externa de energia; outros aparelhos videofônicos de gravação ou de reprodução, mesmo incorporando um receptor de sinais videofônicos, dos tipos utilizados exclusivamente em veículos automotores
620;0106200;85219090;Outros aparelhos receptores de radiodifusão que funcionem com fonte externa de energia; outros aparelhos videofônicos de gravação ou de reprodução, mesmo incorporando um receptor de sinais videofônicos, dos tipos utilizados exclusivamente em veículos automotores
621;0106201;85219090;Outros aparelhos videofônicos de gravação ou de reprodução, mesmo incorporando um receptor de sinais videofônicos, dos tipos utilizados exclusivamente em veículos automotores
630;0106300;85291090;Antenas
640;0106400;853400;Circuitos impressos
640;0106400;85340000;Circuitos impressos
650;0106500;853530;Interruptores e seccionadores e comutadores
650;0106500;853650;Interruptores e seccionadores e comutadores
660;0106600;85361000;Fusíveis e corta-circuitos de fusíveis
670;0106700;85362000;Disjuntores
680;0106800;85364;Relés
690;0106900;8538;Partes reconhecíveis como exclusivas ou principalmente destinados aos aparelhos dos CEST 0106500, 0106600, 0106700 e 0106800
690;0106900;8538;Partes reconhecíveis como exclusivas ou principalmente destinados aos aparelhos dos itens 650, 660, 670 e 680
700;0107000;853910;Faróis e projetores, em unidades seladas
710;0107100;85392;Lâmpadas e tubos de incandescência, exceto de raios ultravioleta ou infravermelhos
720;0107200;85442000;Cabos coaxiais e outros condutores elétricos coaxiais
730;0107300;85443000;Jogos de fios para velas de ignição e outros jogos de fios
740;0107400;8707;Carroçarias para os veículos automóveis das posições 8701 a 8705, incluídas as cabinas
750;0107500;8708;Partes e acessórios dos veículos automóveis das posições 8701 a 8705
760;0107600;87141;Parte e acessórios de motocicletas (incluídos os ciclomotores)
770;0107700;87169090;Engates para reboques e semi-reboques
780;0107800;902610;Medidores de nível; Medidores de vazão
790;0107900;902620;Aparelhos para medida ou controle da pressão
800;0108000;9029;Contadores, indicadores de velocidade e tacômetros, suas partes e acessórios
810;0108100;90303321;Amperímetros
820;0108200;90318040;Aparelhos digitais, de uso em veículos automóveis, para medida e indicação de múltiplas grandezas tais como: velocidade média, consumos instantâneo e médio e autonomia (computador de bordo)
830;0108300;9032892;Controladores eletrônicos
840;0108400;91040000;Relógios para painéis de instrumentos e relógios semelhantes
850;0108500;94012000;Assentos e partes de assentos
850;0108500;94019090;Assentos e partes de assentos
860;0108600;96138000;Acendedores
870;0108700;4009;Tubos de borracha vulcanizada não endurecida, mesmo providos de seus acessórios
880;0108800;45049000;Juntas de vedação de cortiça natural e de amianto
880;0108800;68129910;Juntas de vedação de cortiça natural e de amianto
890;0108900;48234000;Papel-diagrama para tacógrafo, em disco
900;0109000;39191000;Fitas, tiras, adesivos, auto-colantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários
900;0109000;39199000;Fitas, tiras, adesivos, auto-colantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários
900;0109000;87082999;Fitas, tiras, adesivos, auto-colantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários
910;0109100;84123110;Cilindros pneumáticos
920;0109200;84131900;Bomba elétrica de lavador de para-brisa
920;0109200;84135090;Bomba elétrica de lavador de para-brisa
920;0109200;84138100;Bomba elétrica de lavador de para-brisa
930;0109300;84136019;Bomba de assistência de direção hidráulica
930;0109300;84137010;Bomba de assistência de direção hidráulica
940;0109400;84145910;Motoventiladores
940;0109400;84145990;Motoventiladores
950;0109500;84213990;Filtros de pólen do ar-condicionado
960;0109600;85011019;"Máquina" de vidro elétrico de porta
970;0109700;85013110;Motor de limpador de para-brisa
980;0109800;85045000;Bobinas de reatância e de auto-indução
990;0109900;850720;Baterias de chumbo e de níquel-cádmio
990;0109900;850730;Baterias de chumbo e de níquel-cádmio
1000;0110000;85123000;Aparelhos de sinalização acústica (buzina)
1010;0110100;9032898;Instrumentos para regulação de grandezas não elétricas
1010;0110100;9032899;Instrumentos para regulação de grandezas não elétricas
1020;0110200;90271000;Analisadores de gases ou de fumaça (sonda lambda)
1030;0110300;40081100;Perfilados de borracha vulcanizada não endurecida
1040;0110400;56012219;Artefatos de pasta de fibra de uso automotivo
1050;0110500;57032000;Tapetes/carpetes - nailón
1060;0110600;57033000;Tapetes de matérias têxteis sintéticas
1070;0110700;59119000;Forração interior capacete
1080;0110800;69039099;Outros para-brisas
1090;0110900;70072900;Moldura com espelho
1100;0111000;73145000;Corrente de transmissão
1110;0111100;73151100;Corrente transmissão
1120;0111200;73151210;Outras correntes de transmissão
1130;0111300;84189900;Condensador tubular metálico
1140;0111400;841950;Trocadores de calor
1150;0111500;84249090;Partes de aparelhos mecânicos de pulverizar ou dispersar
1160;0111600;84254910;Macacos manuais para veículos
1170;0111700;84314100;Caçambas, pás, ganchos e tenazes para máquinas rodoviárias
1180;0111800;85016100;Geradores de corrente alternada de potência não superior a 75 kva
1190;0111900;85311090;Aparelhos elétricos para alarme de uso automotivo
1200;0112000;90141000;Bússolas
1210;0112100;90251990;Indicadores de temperatura
1220;0112200;90259010;Partes de indicadores de temperatura
1230;0112300;902690;Partes de aparelhos de medida ou controle
1240;0112400;90321010;Termostatos
1250;0112500;90321090;Instrumentos e aparelhos para regulação
1260;0112600;90322000;Pressostatos
1270;0112700;871690;Peças para reboques e semi-reboques, exceto os itens classificados no CEST 0107700
1270;0112700;871690;Peças para reboques e semi-reboques
1280;0112800;73229010;Geradores de ar quente a combustível líquido, com capacidade superior ou igual a 1500 kcal/h, mas inferior ou igual a 10400 kcal/h, do tipo dos utilizados em veículos automóveis
9990;0199900; ;Outras peças, partes e acessórios para veículos automotores não relacionados nos demais itens deste anexo
1290;0112900; ;Outras peças, partes e acessórios para veículos automotores não relacionados nos demais itens deste anexo
10;0200100;2205;Aperitivos, amargos, bitter e similares
10;0200100;22089000;Aperitivos, amargos, bitter e similares
20;0200200;22089000;Batida e similares
30;0200300;22089000;Bebida ice
40;0200400;220720;Cachaça e aguardentes
40;0200400;22084000;Cachaça e aguardentes
50;0200500;2205;Catuaba e similares
50;0200500;22060090;Catuaba e similares
50;0200500;22089000;Catuaba e similares
60;0200600;22082000;Conhaque, brandy e similares
70;0200700;22060090;Cooler
70;0200700;22089000;Cooler
80;0200800;22085000;Gim (gin) e genebra
90;0200900;2205;Jurubeba e similares
90;0200900;22060090;Jurubeba e similares
90;0200900;22089000;Jurubeba e similares
100;0201000;22087000;Licores e similares
110;0201100;22082000;Pisco
120;0201200;22084000;Rum
130;0201300;22060090;Saque
140;0201400;22089000;Steinhaeger
150;0201500;22089000;Tequila
160;0201600;220830;Uísque
170;0201700;2205;Vermute e similares
180;0201800;22086000;Vodka
190;0201900;22089000;Derivados de vodka
200;0202000;22089000;Arak
210;0202100;22082000;Aguardente vínica / grappa
220;0202200;22060010;Sidra e similares
230;0202300;2205;Sangrias e coquetéis
230;0202300;22060090;Sangrias e coquetéis
230;0202300;22089000;Sangrias e coquetéis
240;0202400;2204;Vinhos de uvas frescas, incluindo os vinhos enriquecidos com álcool; mostos de uvas
9990;0299900;2205;Outras bebidas alcoólicas não especificadas nos itens anteriores
9990;0299900;2206;Outras bebidas alcoólicas não especificadas nos itens anteriores
9990;0299900;2207;Outras bebidas alcoólicas não especificadas nos itens anteriores
9990;0299900;2208;Outras bebidas alcoólicas não especificadas nos itens anteriores
250;0202500;2205;Outras bebidas alcoólicas não especificadas nos itens anteriores
250;0202500;2206;Outras bebidas alcoólicas não especificadas nos itens anteriores
250;0202500;2207;Outras bebidas alcoólicas não especificadas nos itens anteriores
250;0202500;2208;Outras bebidas alcoólicas não especificadas nos itens anteriores
10;0300100;22011000;Água mineral, gasosa ou não, ou potável, naturais, em garrafa de vidro, retornável ou não, com capacidade de até 500 ml
20;0300200;22011000;Água mineral, gasosa ou não, ou potável, naturais, em embalagem com capacidade igual ou superior a 5000 ml
30;0300300;22011000;Água mineral, gasosa ou não, ou potável, naturais, em embalagem de vidro, não retornável, com capacidade de até 300 ml
40;0300400;22011000;Água mineral, gasosa ou não, ou potável, naturais, em garrafa plástica de 1500 ml
50;0300500;22011000;Água mineral, gasosa ou não, ou potável, naturais, em copos plásticos e embalagem plástica com capacidade de até 500 ml
60;0300600;22011000;Outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas
70;0300700;22021000;Águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente, exceto os refrescos e refrigerantes
70;0300700;22021000;Águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente, refrescos
80;0300800;22029000;Outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente
90;0300900;22029000;Néctares de frutas e outras bebidas não alcoólicas prontas para beber, exceto isotônicos e energéticos
100;0301000;2202;Refrigerante em garrafa com capacidade igual ou superior a 600 ml
110;0301100;2202;Demais refrigerantes
120;0301200;21069010;Xarope ou extrato concentrado destinados ao preparo de refrigerante em máquina "pré-mix"ou "post-mix"
130;0301300;210690;Bebidas energéticas em embalagem com capacidade inferior a 600ml
130;0301300;22029000;Bebidas energéticas em embalagem com capacidade inferior a 600ml
130;0301300;22029000;Bebidas energéticas em embalagem com capacidade inferior a 600ml
140;0301400;210690;Bebidas energéticas em embalagem com capacidade igual ou superior a 600ml
140;0301400;22029000;Bebidas energéticas em embalagem com capacidade igual ou superior a 600ml
140;0301400;22029000;Bebidas energéticas em embalagem com capacidade igual ou superior a 600ml
150;0301500;210690;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade inferior a 600ml
150;0301500;22029000;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade inferior a 600ml
150;0301500;21069090;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade inferior a 600ml
160;0301600;210690;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade igual ou superior a 600ml
160;0301600;22029000;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade igual ou superior a 600ml
160;0301600;21069090;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade igual ou superior a 600ml
170;0301700;210120;Bebidas prontas à base de mate ou chá
170;0301700;22029000;Bebidas prontas à base de mate ou chá
180;0301800;22029000;Bebidas prontas à base de café
190;0301900;22021000;Refrescos e outras bebidas prontas para beber à base de chá e mate
200;0302000;22029000;Bebidas alimentares prontas à base de soja, leite ou cacau, inclusive os produtos denominados bebidas lácteas
210;0302100;22030000;Cerveja
220;0302200;22029000;Cerveja sem álcool
230;0302300;22030000;Chope
10;0400100;2402;Charutos, cigarrilhas e cigarros, de tabaco ou dos seus sucedâneos
20;0400200;24031;Tabaco para fumar, mesmo contendo sucedâneos de tabaco em qualquer proporção
10;0500100;2523;Cimento
10;0600100;220710;Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80% vol (álcool etílico anidro combustível e álcool etílico hidratado combustível)
20;0600200;27101259;Gasolinas, exceto de aviação
30;0600300;27101251;Gasolina de aviação
40;0600400;27101919;Querosenes, exceto de aviação
50;0600500;27101911;Querosene de aviação
60;0600600;2710192;Óleos combustíveis
70;0600700;2710193;Óleos lubrificantes
80;0600800;2710199;Outros óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70% ou mais, em peso, de óleos de petróleo ou de inerais betuminosos, exceto os que contenham biodiesel e exceto os resíduos de óleos
90;0600900;27109;Resíduos de óleos
100;0601000;2711;Gás de petróleo e outros hidrocarbonetos gasosos, exceto GLP, GLGN e Gás Natural
110;0601100;27111910;Gás Liquefeito de Petróleo (GLP)
120;0601200;27111100;Gás Liquefeito de Gás Natural (GLGN)
130;0601300;27112100;Gás Natural
140;0601400;2713;Coque de petróleo e outros resíduos de óleo de petróleo ou de minerais betuminosos
150;0601500;38260000;Biodiesel e suas misturas, que não contenham ou que contenham menos de 70%, em peso, de óleos de petróleo ou de óleos minerais betuminosos
160;0601600;3403;Preparações lubrificantes, exceto as contendo, como constituintes de base, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos
170;0601700;27102000;Óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos, que contenham biodiesel, exceto os resíduos de óleos
10;0700100;27160000;Energia elétrica
10;0800100;40169990;Ferramentas de borracha vulcanizada não endurecida
20;0800200;44170010;Ferramentas armações e cabos de ferramentas, de madeira
20;0800200;44170090;Ferramentas armações e cabos de ferramentas, de madeira
30;0800300;6804;Mós e artefatos semelhantes, sem armação, para moer, desfibrar, triturar, amolar, polir, retificar ou cortar; pedras para amolar ou para polir, manualmente, e suas partes, de pedras naturais, de abrasivos naturais ou artificiais aglomerados ou de cerâmica, mesmo com partes de outras matérias
40;0800400;8201;Pás, alviões, picaretas, enxadas, sachos, forcados e forquilhas, ancinhos e raspadeiras; machados, podões e ferramentas semelhantes com gume; tesouras de podar de todos os tipos; foices e foicinhas, facas para feno ou para palha, tesouras para sebes, cunhas e outras ferramentas manuais para agricultura, horticultura ou silvicultura
50;0800500;82022000;Folhas de serras de fita
60;0800600;82029100;Lâminas de serras máquinas
70;0800700;8202;Serras manuais e outras folhas de serras (incluídas as fresas-serras e as folhas não dentadas para serrar), exceto as classificadas nos CEST 0800500 e 0800600
70;0800700;8202;Serras manuais e outras folhas de serras (incluídas as fresas-serras e as folhas não dentadas para serrar), exceto as classificadas nas posições 82022000 e 82029100
80;0800800;8203;Limas, grosas, alicates (mesmo cortantes), tenazes, pinças, cisalhas para metais, corta-tubos, corta-pinos, saca-bocados e ferramentas semelhantes, manuais, exceto as pinças para sobrancelhas classificadas na posição 82032090
90;0800900;8204;Chaves de porcas, manuais (incluídas as chaves dinamométricas); chaves de caixa intercambiáveis, mesmo com cabos
100;0801000;8205;Ferramentas manuais (incluídos os diamantes de vidraceiro) não especificadas nem compreendidas em outras posições, lamparinas ou lâmpadas de soldar (maçaricos) e semelhantes; tornos de apertar, sargentos e semelhantes, exceto os acessórios ou partes de máquinas-ferramentas; bigornas; forjas-portáteis; mós com armação, manuais ou de pedal
110;0801100;82060000;Ferramentas de pelo menos duas das posições 8202 a 8205, acondicionadas em sortidos para venda a retalho  
110;0801100;8206;Ferramentas de pelo menos duas das posições 8202 a 8205, acondicionadas em sortidos para venda a retalho
120;0801200;820740;Ferramentas de roscar interior ou exteriormente; de mandrilar ou de brochar; e de fresar
120;0801200;820760;Ferramentas de roscar interior ou exteriormente; de mandrilar ou de brochar; e de fresar
120;0801200;820770;Ferramentas de roscar interior ou exteriormente; de mandrilar ou de brochar; e de fresar
130;0801300;8207;Outras ferramentas intercambiáveis para ferramentas manuais, mesmo mecânicas, ou para máquinas-ferramentas (por exemplo, de embutir, estampar, puncionar, furar, tornear, aparafusar), incluídas as fieiras de estiragem ou de extrusão, para metais, e as ferramentas de perfuração ou de sondagem, exceto forma ou gabarito de produtos em epoxy, exceto as classificadas no CEST 0801200  
130;0801300;8207;Outras ferramentas intercambiáveis para ferramentas manuais, mesmo mecânicas, ou para máquinas-ferramentas (por exemplo, de embutir, estampar, puncionar, furar, tornear, aparafusar), incluídas as fieiras de estiragem ou de extrusão, para metais, e as ferramentas de perfuração ou de sondagem, exceto forma ou gabarito de produtos em epoxy, exceto as classificadas nas posições 820740, 820760 e 820770
140;0801400;8208;Facas e lâminas cortantes, para máquinas ou para aparelhos mecânicos
150;0801500;82090011;Plaquetas ou pastilhas intercambiáveis
160;0801600;820900;Outras plaquetas, varetas, pontas e objetos semelhantes para ferramentas, não montados, de ceramais ("cermets"), exceto as classificadas no CEST 0801500
160;0801600;8209;Outras plaquetas, varetas, pontas e objetos semelhantes para ferramentas, não montados, de ceramais ("cermets"), exceto as classificadas na posição 82090011
170;0801700;8211;Facas de lâmina cortante ou serrilhada, incluídas as podadeiras de lâmina móvel, e suas lâmicas, exceto as de uso doméstico
170;0801700;8211;Facas (exceto as da posição 8208) de lâmina cortante ou serrilhada, incluídas as podadeiras de lâmina móvel, e suas lâminas, exceto as de uso doméstico
180;0801800;8213;Tesouras e suas lâminas
190;0801900;8467;Ferramentas pneumáticas, hidráulicas ou com motor (elétrico ou não elétrico) incorporado, de uso manual
200;0802000;9015;Instrumentos e aparelhos de geodésia, topografia, agrimensura, nivelamento, fotogrametria, hidrografia, oceanografia, hidrologia, meteorologia ou de geofísica, exceto bussolas; telêmetros
210;0802100;90172000;Instrumentos de desenho, de traçado ou de cálculo; metros, micrômetros, paquímetros, calibres e semelhantes; partes e acessórios
210;0802100;901730;Instrumentos de desenho, de traçado ou de cálculo; metros, micrômetros, paquímetros, calibres e semelhantes; partes e acessórios
210;0802100;901780;Instrumentos de desenho, de traçado ou de cálculo; metros, micrômetros, paquímetros, calibres e semelhantes; partes e acessórios
210;0802100;90179090;Instrumentos de desenho, de traçado ou de cálculo; metros, micrômetros, paquímetros, calibres e semelhantes; partes e acessórios
220;0802200;90251190;Termômetros, suas partes e acessórios
220;0802200;90259010;Termômetros, suas partes e acessórios
230;0802300;902519;Pirômetros, suas partes e acessórios
230;0802300;90259090;Pirômetros, suas partes e acessórios
10;0900100;8539;Lâmpadas elétricas
20;0900200;8540;Lâmpadas eletrônicas
30;0900300;85041000;Reatores para lâmpadas ou tubos de descargas
40;0900400;853650;“Starter”
50;0900500;85437099;Lâmpadas de LED (Diodos Emissores de Luz)
10;1000100;2522;Cal
20;1000200;3816001;Argamassas
20;1000200;38245000;Argamassas
30;1000300;32149000;Outras argamassas
40;1000400;391000;Silicones em formas primárias, para uso na construção
50;1000500;3916;Revestimentos de PVC e outros plásticos; forro, sancas e afins de PVC, para uso na construção
60;1000600;3917;Tubos, e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos, para uso na construção
70;1000700;3918;Revestimento de pavimento de PVC e outros plásticos
80;1000800;3919;Chapas, folhas, tiras, fitas, películas e outras formas planas, auto-adesivas, de plásticos, mesmo em rolos, para uso na construção
90;1000900;3919;Veda rosca, lona plástica para uso na construção, fitas isolantes e afins
90;1000900;3920;Veda rosca, lona plástica para uso na construção, fitas isolantes e afins
90;1000900;3921;Veda rosca, lona plástica para uso na construção, fitas isolantes e afins
100;1001000;3921;Telha de plástico, mesmo reforçada com fibra de vidro
110;1001100;3921;Cumeeira de plástico, mesmo reforçada com fibra de vidro
120;1001200;3921;Chapas, laminados plásticos em bobina, para uso na construção, exceto os descritos nos CEST 1001000 e 1001100
120;1001200;3921;Chapas, laminados plásticos em bobina, para uso na construção, exceto os descritos nos itens 100 e 110
130;1001300;3922;Banheiras, boxes para chuveiros, pias, lavatórios, bidês, sanitários e seus assentos e tampas, caixas de descarga e artigos semelhantes para usos sanitários ou higiênicos, de plásticos
140;1001400;3924;Artefatos de higiene/toucador de plástico, para uso na construção
150;1001500;39251000;Caixa d’água, inclusive sua tampa, de plástico, mesmo reforçadas com fibra de vidro
160;1001600;392590;Outras telhas, cumeeira e caixa d’água, inclusive sua tampa, de plástico, mesmo reforçadas com fibra de vidro
170;1001700;39251000;Artefatos para apetrechamento de construções, de plásticos, não especificados nem compreendidos em outras posições, incluindo persianas, sancas, molduras, apliques e rosetas, caixilhos de polietileno e outros plásticos, exceto os descritos nos CEST 1001500 e 1001600
170;1001700;392590;Artefatos para apetrechamento de construções, de plásticos, não especificados nem compreendidos em outras posições, incluindo persianas, sancas, molduras, apliques e rosetas, caixilhos de polietileno e outros plásticos, exceto os descritos nos CEST 1001500 e 1001600
